ID;Gemeente;VO;MBO;HBO;WO;Inwoners
GM0828;Oss;5153;2881;1762;523;84861
GM0584;Oud-Beijerland;1531;686;518;138;23441
GM1509;Oude IJsselstreek;2363;1410;672;101;39779
GM0437;Ouder-Amstel;871;214;259;196;13249
GM0644;Ouderkerk;528;269;160;38;8147
GM0589;Oudewater;658;336;187;40;9872
GM1734;Overbetuwe;3311;1342;854;279;46531
GM0590;Papendrecht;1911;986;565;195;32082
GM1894;Peel en Maas;2630;1387;932;189;43302
GM0765;Pekela;745;567;164;19;12804
GM1926;Pijnacker-Nootdorp;3574;1313;1196;717;50454
GM0439;Purmerend;4592;2850;1683;554;79482
GM0273;Putten;1556;881;444;124;23971
GM0177;Raalte;2272;1382;816;77;36486
GM0703;Reimerswaal;1338;786;281;16;21859
GM0274;Renkum;1854;689;501;242;31565
GM0339;Renswoude;311;163;94;15;4893
GM1667;Reusel-De Mierden;668;473;284;57;12670
GM0275;Rheden;2512;1369;1189;193;43679
GM0340;Rhenen;1122;570;297;98;19047
GM0597;Ridderkerk;2396;1332;847;299;45330
GM0196;Rijnwaarden;652;393;155;29;10968
GM1742;Rijssen-Holten;2495;1506;847;109;37608
GM0603;Rijswijk (ZH.);2033;921;1038;478;47372
GM1669;Roerdalen;1055;604;344;96;20996
GM0957;Roermond;2861;1743;1015;305;56690
GM0736;De Ronde Venen;2920;1104;897;325;42846
GM1674;Roosendaal;4459;2295;1695;394;77155
GM0599;Rotterdam;29836;21577;17773;14268;616294
GM0277;Rozendaal;115;19;25;14;1501
GM0840;Rucphen;1115;706;368;68;22268
GM0441;Schagen;1064;539;329;98;46207
GM0458;Schermer;361;192;104;30;5501
GM0279;Scherpenzeel;653;329;160;38;9403
GM0606;Schiedam;4135;2645;1643;649;76216
GM0088;Schiermonnikoog;58;20;5;1;960
GM0844;Schijndel;1421;710;472;102;23262
GM0962;Schinnen;764;378;272;75;12950
GM0608;Schoonhoven;751;418;242;82;11864
GM1676;Schouwen-Duiveland;1932;990;420;65;34040
GM0965;Simpelveld;566;316;190;49;10920
GM1702;Sint Anthonis;844;450;283;57;11760
GM0845;Sint-Michielsgestel;1904;773;619;168;28040
GM0846;Sint-Oedenrode;1150;530;386;110;17921
GM1883;Sittard-Geleen;4987;2506;2115;491;94024
GM0610;Sliedrecht;1341;790;461;144;24389
GM0040;Slochteren;1021;551;255;67;15622
GM1714;Sluis;1122;614;202;24;23886
GM0090;Smallingerland;3436;2096;1094;208;55454
